codigo,titulo,tipo,zona,departamento,municipio,hab,banos,parqueos,m2_constr,unidad_m2,terreno,unidad_terreno,precio,moneda,descripcion,url,imagen,lat,lng,geo_tipo
qc4352,Preciosa finca de 5 manzanas en venta,Finca,Nindirí,Nindirí,Masaya,,,,,,"50,000.00",Vrs²,150000.00,USD,"Preciosa finca disponible para venta en Carretera Veracruz Nindiri, ubicada en zona Segura y silenciosa de fácil acceso, a pocos minutos de centro de compras, estaciones de servicio, escuelas, hospit...",https://www.quierocasa.com/anuncio/qc4352/0/preciosa-finca-de-5-manzanas-en-venta.htm,https://www.quierocasa.com/gallery/qc4352/350/qc4352-1.jpg,12.0030065,-86.1201997,administrative
qc4309,Casa perfecta en venta en Santo Domingo,Casa,Santo Domingo,Managua,Managua,4,4.5,2,275.00,Mt²,627.94,Vrs²,365000.00,USD,"Se vende hermosa casa dentro de condominio seguro, ubicada en zona de alta plusvalía, a pocos minutos del centro de Managua, cerca de centros de comerciales, supermercados, tiendas de conveniencias, ...",https://www.quierocasa.com/anuncio/qc4309/0/casa-perfecta-en-venta-en-santo-domingo.htm,https://www.quierocasa.com/gallery/qc4309/350/qc4309-1.jpg,12.1516383,-86.2663177,administrative
qc4307,Encantadora propiedad en Santo Domingo esperando por ti,Casa,Santo Domingo,Managua,Managua,3,3.5,2,303.00,Mt²,848.00,Vrs²,404000.00,USD,lujosa y moderna casa nueva. hechas a la medida y con los mejores acabados del mercado. 18 lotes disponibles con diferentes áreas. Pueden unirse dos lotes y hacer modificación en la construcción....,https://www.quierocasa.com/anuncio/qc4307/0/encantadora-propiedad-en-santo-domingo-esperando-por-ti.htm,https://www.quierocasa.com/gallery/qc4307/350/qc4307-1.jpg,12.1516383,-86.2663177,administrative
qc4280,Preciosa y moderna casa en venta en carretera Sur,Casa,Carretera Sur,Managua,Managua,4,3,5,260.00,Mt²,"2,400.00",Vrs²,275000.00,USD,"Preciosa casa en venta en Carretera sur, ubicada en zona exclusiva, céntrica y segura, de fácil acceso, cerca de supermercados, hospitales, escuelas, gasolineras, tiendas y bancos. Sala. comed...",https://www.quierocasa.com/anuncio/qc4280/0/preciosa-y-moderna-casa-en-venta-en-carretera-sur.htm,https://www.quierocasa.com/gallery/qc4280/350/qc4280-1.jpg,12.1412787,-86.2953782,trunk
qc2753,Preciosos módulos en carretera masaya,Local Comercial,Carretera a Masaya,Managua,Managua,,,2,,,64.00,Mt²,140800.00,USD,"Excelente oportunidad de inversion plaza llena al 100% El edificio consta de 2 pisos, en el primer piso hay 6 módulos para renta o venta, acera, escalera, pasillos, baños, bodega, área de parqu...",https://www.quierocasa.com/anuncio/qc2753/0/preciosos-modulos-en-carretera-masaya.htm,https://www.quierocasa.com/gallery/qc2753/350/qc2753-2.jpg,12.0777949,-86.2231504,trunk
qc4224,Moderna oficina en venta en Bolonia,Oficina,Bolonia,Managua,Managua,4,3,10,423.00,Mt²,"2,649.00",Vrs²,380000.00,USD,"Moderno y ámplio edificio en venta en Bolonia, ideal para oficina, ubicado en zona céntrica, segura y de fácil acceso, cerca de gasolineras, tiendas, supermercados, farmacias, bancos y comercios va...",https://www.quierocasa.com/anuncio/qc4224/0/moderna-oficina-en-venta-en-bolonia.htm,https://www.quierocasa.com/gallery/qc4224/350/qc4224-1.jpg,12.1398941,-86.2815427,administrative
qc4199,Exclusiva propiedad en Santo Domingo: ¡Una oportunidad de inversión in,Casa,Santo Domingo,Managua,Managua,4,3.5,4,420.00,Mt²,"2,500.00",Vrs²,419000.00,USD,"Preciosa propiedad en venta en Santo Domingo, ubicada en zona exclusiva, céntrica y segura, de fácil acceso, cerca de estaciones de servicio, supermercados, tiendas, escuelas y hospitales. Cuenta...",https://www.quierocasa.com/anuncio/qc4199/0/exclusiva-propiedad-en-santo-domingo-una-oportunidad-de-inversion-in.htm,https://www.quierocasa.com/gallery/qc4199/350/qc4199-1.jpg,12.1516383,-86.2663177,administrative
qc3441,Se vende casa en San Juan del sur,Casa,San Juan del Sur,Rivas,,4,5,2,227.00,Mt²,,,369000.00,USD,Gran Oportunidad hermosa casa en Colinas de Miramar,https://www.quierocasa.com/anuncio/qc3441/0/se-vende-casa-en-san-juan-del-sur.htm,https://www.quierocasa.com/gallery/qc3441/350/qc3441-1.jpg,11.1943967,-85.8597572,administrative
qc4143,Hermosa casa en venta en Lomas de Santa Lucia,Casa,Santo Domingo,Managua,Managua,3,3.5,2,,,,,450000.00,USD,"hermosa casa en venta en condominio Lomas de santa Lucia, ubicado en Santo Domingo. Cuenta con seguridad las 24 horas, fácil acceso, cerca de colegios, universidad, hospital, farmacias, centros comer...",https://www.quierocasa.com/anuncio/qc4143/0/hermosa-casa-en-venta-en-lomas-de-santa-lucia.htm,https://www.quierocasa.com/gallery/qc4143/350/qc4143-1.jpg,12.1516383,-86.2663177,administrative
qc4138,Terreno de 470 manzanas en venta en Rivas,Terreno,Rivas,Rivas,Rivas,,,,,,,,1175000.00,USD,"Hermoso terreno de 470 manzanas en Cardenas Rivas, ubicado en zona segura y de fácil acceso a pocs mintos de gasolineras, farmacias, escuelas y tiendas. 1.3 kms de costa al lago",https://www.quierocasa.com/anuncio/qc4138/0/terreno-de-470-manzanas-en-venta-en-rivas.htm,https://www.quierocasa.com/gallery/qc4138/350/qc4138-1.jpg,11.4389392,-85.8287394,administrative
