titulo,precio,tamano_lote,tipo_unidad_lote,source,localizacion,coordenadas,enlace,barrio_colonia,municipio_ciudad,departamento_provincia
"Nagarote, NIC, Camino Nagarote #km 40 carretera nueva hacia leon, Nagarote , Nagarote, León, NIC",750000,287485.11,SQ_MT,kwnicaragua.com,Si,"12.26868660512972,-86.54916093417967",https://kwnicaragua.kw.com/property/Camino-Nagarote-km-40-carretera-nueva-hacia-leon-Nagarote-Nagarote-Len-NIC/2005516475240732,Nagarote,Nagarote,León
"Managua, NIC, Managua, Managua, NIC",160000,223.48,SQ_MT,kwnicaragua.com,Si,"12.0964352,-86.2349044",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2007178194252064,Las Colinas Sur,Managua,Managua
"Masaya, NIC, Masaya, Masaya, NIC",97000,214.18,SQ_MT,kwnicaragua.com,Si,"12.0572936,-86.2142533",https://kwnicaragua.kw.com/property/Masaya-Masaya-NIC/1962562571928448,Villas Lindora,Ticuantepe,Managua
"Managua, NIC, #Puente Praderas del Doral, 3c. este M/I, Managua, Managua, NIC",75000,186.09,SQ_MT,kwnicaragua.com,Si,"12.1329477,-86.1896804",https://kwnicaragua.kw.com/property/Puente-Praderas-del-Doral-3c-este-MI-Managua-Managua-NIC/2006484150444316,Praderas del Doral,Managua,Managua
"Managua , NIC, Managua , Managua, NIC",110000,258.33,SQ_MT,kwnicaragua.com,Si,"12.0496912,-86.21419949999999",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2007961972814432,Residencial Valle Santa María,Ticuantepe,Managua
"Managua, NIC, Barrio la Fuente #Entrada a Las Colinas, 1 c. al este, Managua, Managua 26142",71000,475,SQ_MT,kwnicaragua.com,Si,"12.110799605127095,-86.23340144450903",https://kwnicaragua.kw.com/property/Barrio-la-Fuente-Entrada-a-Las-Colinas-1-c-al-este-Managua-Managua-26142/1954199060278912,Reparto Sócrates Sandino,Managua,Managua
"Managua, NIC, NIC-1 #Bo. El Recreo Sur , Managua, MN, NIC",85000,253,ACRES,kwnicaragua.com,Si,"12.130428349335354,-86.28810690194408",https://kwnicaragua.kw.com/property/NIC1-Bo-El-Recreo-Sur-Managua-MN-NIC/2008251466495744,El Recreo Sur,Managua,Managua
"Managua, NIC, Managua, Managua, NIC",373030,7514.48,SQ_MT,kwnicaragua.com,Si,"12.1133132,-86.3158422",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2006554642190988,San Patricio,Managua,Managua
"Masaya, NIC, Masaya, Nindirí, NIC",620421,28200.96,SQ_MT,kwnicaragua.com,Si,"12.048678842976848,-86.18622359626845",https://kwnicaragua.kw.com/property/Masaya-Nindir-NIC/2008205552984672,Valle De Capistrano V etapa,Nindirí,Masaya
"Fully Furnished Beach Apartment in Playa Gigante, Nicaragua – Casa Na",99000,54,m²,nicarealtors.com,Si,"11.393143281992929,-86.03234802942788",https://nicarealtors.com/listings/fully-furnished-beach-apartment-in-playa-gigante-casa-na/,El Gigante,El Gigante,Rivas
"Fixer Casita Near Lake in Laguna de Apoyo, Nicaragua",29000,546.75,m²,nicarealtors.com,Si,"11.937447522698694,-86.05223616666079",https://nicarealtors.com/listings/casita-near-lake-in-laguna-de-apoyo/,La Laguna,Pacaya,Masaya
"Lakefront Casita in San Jorge, Rivas",48000,176,m²,nicarealtors.com,Si,"11.452074133639732,-85.79017507646955",https://nicarealtors.com/listings/lakefront-casita-in-san-jorge-rivas/,19 de Julio,San Jorge,Rivas
Lakeview lots in Laguna de Apoyo Nicaragua – Club Vistalagos,50000,1968,m²,nicarealtors.com,Si,"11.9330953018062,-86.00286048126533",https://nicarealtors.com/listings/lakeview-lots-in-laguna-de-apoyo-nicaragua-club-vistalagos/,,Granada,Granada
"Prime Lots for Sale in Tree Casa Resort, San Juan del Sur, Nicaragua",43500,3129.43,m²,nicarealtors.com,Si,"11.280222278665875,-85.87436345701362",https://nicarealtors.com/listings/prime-lots-for-sale-in-tree-casa-resort/,El Payapal,San Juan del Sur,Rivas
Treehouse Studios Near Hacienda Iguana Nicaragua | Homes santa Marta,79000,2500,m²,nicarealtors.com,Si,"11.419445979943575,-86.05323929952169",https://nicarealtors.com/listings/playa-colorado-home-in-santa-marta/,,Tola,Rivas
Brand New Home in Playa Popoyo Nicaragua,69000,1300,m²,nicarealtors.com,Si,"11.488786821043593,-86.11892506294642",https://nicarealtors.com/listings/brand-new-home-in-playa-popoyo-nicaragua/,,Tola,Rivas
Surf Casita in Playa Popoyo Nicaragua,45000,714,m²,nicarealtors.com,Si,"11.48857169977074,-86.11888216395491",https://nicarealtors.com/listings/surf-casita-in-playa-popoyo-nicaragua/,,Tola,Rivas
Nicaragua Surf Camp in Playa Popoyo | Shaka Surf Camp,99000,2358,m²,nicarealtors.com,Si,"11.476342289025691,-86.11189659414131",https://nicarealtors.com/listings/surf-camp-in-popoyo-shaka-surf-camp/,El Limón,El Limón,Rivas
Home in La Virgen - Playa Popoyo,45000,900,m²,nicarealtors.com,Si,"11.478090029749627,-86.10071182250978",https://nicarealtors.com/listings/playa-popoyo-home-in-la-virgen/,La Virgen Morena,La Virgen Morena,Rivas
"Esc Digital Nomad Casitas in Guasacate, Nicaragua",99000,300,m²,nicarealtors.com,Si,"11.482457446829049,-86.1162405259646",https://nicarealtors.com/listings/esc-digital-nomad-casitas-in-guasacate/,El Limón,El Limón,Rivas
"Brand New House in Playa Popoyo, Nicaragua",105000,239.73,m²,nicarealtors.com,Si,"11.454254989964593,-86.1022023296039",https://nicarealtors.com/listings/playa-popoyo-brand-new-house/,Monte Filis,Monte Filis,Rivas
