id,titulo,zona,categoria,precio,moneda,hab,banos,m2,lote_vrs,url,imagen,municipio,departamento,lat,lng,geo_tipo,municipio,departamento,lat,lng,geo_tipo
14184,Casa en Venta en Chinandega,Chinandega,2,90000,USD,3,2,690,2155.56,https://discovernica.com/propiedades/detalles/14184/casa-en-venta-en-Chinandega,https://discovernica.com/assets/images/properties/ID14184_5.jpg,Managua,Managua,12.1283961,-86.3003495,bus_station,Managua,Managua,12.1283961,-86.3003495,bus_station
15143,Se vende casa en Las Brisas - Oportunidad de inversión,Las Brisas,2,85000,USD,3,2,225.52,597.54,https://discovernica.com/propiedades/detalles/15143/casa-venta-las-brisas-oportunidad-de-inversión,https://discovernica.com/assets/images/properties/ID_15143_3.png,Managua,Managua,12.1553331,-86.3139094,administrative,Managua,Managua,12.1553331,-86.3139094,administrative
12981,Casa en Venta o Renta en Carretera Sur ID 12981,Carretera Sur,46,300000,USD,3,3.5,360,648,"https://discovernica.com/propiedades/detalles/12981/Casa en venta-renta en carretera sur, 3 habitaciones, 3 baños.",https://discovernica.com/assets/images/properties/fwefeg.jpg,Managua,Managua,12.1442663,-86.2915488,trunk,Managua,Managua,12.1442663,-86.2915488,trunk
15130,Se vende casa con excelente ubicación en Bolonia,Bolonia,2,145000,USD,4,3,275,925.84,https://discovernica.com/propiedades/detalles/15130/casa-venta-excelente-ubicación-bolonia-4-habitaciones,https://discovernica.com/assets/images/properties/15130_3.png,Managua,Managua,12.1398941,-86.2815427,administrative,Managua,Managua,12.1398941,-86.2815427,administrative
15102,Proyecto de casas en venta en Santo Domingo - Zona de condominio,Santo Domingo,2,450000,USD,4,4.5,350,825.16,https://discovernica.com/propiedades/detalles/15102/proyecto-casas-condominio-venta-santo-domingo,https://discovernica.com/assets/images/properties/15102_1.png,Managua,Managua,12.1516383,-86.2663177,administrative,Managua,Managua,12.1516383,-86.2663177,administrative
14408,Se vende casa rodeada de naturaleza en Carretera Sur,Carretera Sur,2,268009,USD,5,4,326.37,2000,https://discovernica.com/propiedades/detalles/14408/casa-venta-carretera-sur-amplio-patio-jardín,https://discovernica.com/assets/images/properties/ID14408.png,Managua,Managua,12.1442663,-86.2915488,trunk,Managua,Managua,12.1442663,-86.2915488,trunk
15136,Se vende casa con piscina en Carretera Sur,Carretera Sur,2,230000,USD,3,3,256,1667.08,https://discovernica.com/propiedades/detalles/15136/casa-venta-piscina-carretera-sur,https://discovernica.com/assets/images/properties/15136_1.png,Managua,Managua,12.1442663,-86.2915488,trunk,Managua,Managua,12.1442663,-86.2915488,trunk
13835,Amplia casa en venta en Diriamba,Diriamba,2,225000,USD,4,3.5,392.36,1044,https://discovernica.com/propiedades/detalles/13835/se-vende-casa-en-Diriamba-residencial-4-habitaciones,https://discovernica.com/assets/images/properties/ID13835_8_.jpg,Diriamba,,,,,Diriamba,,,,
15127,Acogedora casa en venta en Tipitapa,Tipitapa,2,72000,USD,3,1,178.5,301.75,https://discovernica.com/propiedades/detalles/15127/casa-venta-tipitapa,https://discovernica.com/assets/images/properties/15127_1.png,,,,,,,,,,
12059,Casa en Venta en Carretera Sur.,Carretera Sur,2,250000,USD,5,3,200,5358.4,"https://discovernica.com/propiedades/detalles/12059/Casa en venta en carretera sur, 5 habitaciones, 3 baños",https://discovernica.com/assets/images/properties/12_WEB_7.jpg,Managua,Managua,12.1442663,-86.2915488,trunk,Managua,Managua,12.1442663,-86.2915488,trunk
14420,"Casa en Venta/Renta – Zona Fresca, Tranquila y Segura de Carretera Sur",,46,450000,USD,4,4.5,610,1650,https://discovernica.com/propiedades/detalles/14420/casa-venta-renta-carretera-sur-4-habitaciones,https://discovernica.com/assets/images/properties/ID12420.png,Managua,Managua,12.1547116,-86.2737250,administrative,Managua,Managua,12.1547116,-86.2737250,administrative
14946,Se vende casa en Carretera a Masaya,Carretera a Masaya,2,230000,USD,3,2.5,240,889,https://discovernica.com/propiedades/detalles/14946/casa-venta-residencial-carretera-a-masaya-3-habitaciones,https://discovernica.com/assets/images/properties/14946_1.png,Masaya,,,,,Masaya,,,,
14161,Se vende casa con vista en Villa Fontana,Villa Fontana,2,230000,USD,4,3,190,1330,https://discovernica.com/propiedades/detalles/14161/casa-venta-con-vista-villa-fontana,https://discovernica.com/assets/images/properties/ID14161_2.jpg,Managua,Managua,12.1033874,-86.2671277,administrative,Managua,Managua,12.1033874,-86.2671277,administrative
14487,Casa con amplio patio en venta en Carretera Sur,Carretera Sur,2,89000,USD,3,2,70.13,438.16,https://discovernica.com/propiedades/detalles/14487/casa-amplio-patio-carretera-sur-3-habitaciones-venta,https://discovernica.com/assets/images/properties/ID14487_9.png,Managua,Managua,12.1442663,-86.2915488,trunk,Managua,Managua,12.1442663,-86.2915488,trunk
