id,titulo,slug,loc,precio,moneda,hab,banos,lote,area,url,imagen,municipio,departamento,lat,lng,geo_tipo
33455,renta,casa-en-renta/,renta,299999,USD,,4,,,https://www.sovinic.com.ni/propiedades/casa-en-renta/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/Lumii_20240407_0945458471-525x328.jpg,,,12.1084195,-86.3035651,outdoor
33408,san marcos carazo,casa-en-venta-san-marcos-carazo/,san marcos carazo,199900,USD,,3,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-san-marcos-carazo/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/Lumii_20240213_124004656-525x328.jpg,,,11.9021268,-86.2370068,industrial
33041,carazo nicaragua fuel muebles jinotepe,se-vende-casa-en-jinotepe-carazo-nicaragua-fuel-muebles/,carazo nicaragua fuel muebles jinotepe,260000,USD,,4,,,https://www.sovinic.com.ni/propiedades/se-vende-casa-en-jinotepe-carazo-nicaragua-fuel-muebles/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/5b772e63-202a-4f5b-ba5d-1379c7d6df57-525x328.jpg,Jinotepe,Carazo,11.8478476,-86.1992469,administrative
32903,nicaragua managua,casa-de-lujo-en-managua-nicaragua/,nicaragua managua,580000,USD,,5.5,,,https://www.sovinic.com.ni/propiedades/casa-de-lujo-en-managua-nicaragua/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/Lumii_20220328_164324783-525x328.jpg,Managua,Managua,12.1214389,-86.3097786,central_bank
32724,bosque de capistrano,casa-en-venta-en-bosque-de-capistrano/,bosque de capistrano,100000,USD,,3,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-en-bosque-de-capistrano/,https://www.sovinic.com.ni/wp-content/uploads/2025/08/Lumii_20210823_135010816-scaled-1-525x328.jpg,,,,,
32707,carretera vieja leon km %c2%bd,se-venden-y-o-renta-casa-en-carretera-vieja-leon-km-11-%c2%bd/,carretera vieja leon km %c2%bd,230000,USD,,3,,,https://www.sovinic.com.ni/propiedades/se-venden-y-o-renta-casa-en-carretera-vieja-leon-km-11-%c2%bd/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/IMG-20210707-WA0054-525x328.jpg,León,León,12.3021275,-86.9679698,administrative
32691,km 11.5 carretera vieja a leon,venta-de-casa-km-11-5-carretera-vieja-a-leon/,km 11.5 carretera vieja a leon,400000,USD,,4.5,,,https://www.sovinic.com.ni/propiedades/venta-de-casa-km-11-5-carretera-vieja-a-leon/,https://www.sovinic.com.ni/wp-content/uploads/2025/08/Lumii_20210601_150304122-scaled-1-525x328.jpg,León,León,12.0731952,-86.4953759,trunk
32395,ubicada en el km carretera a masaya,casa-en-venta-ubicada-en-el-kilometro-12-5-carretera-a-masaya/,ubicada en el km carretera a masaya,136000,USD,,3,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-ubicada-en-el-kilometro-12-5-carretera-a-masaya/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/IMG-20200503-WA0056-525x328.jpg,Masaya,Masaya,11.9736474,-86.0960547,administrative
32211,estancia de santo domingo,propiedad-de-lujo-en-estancia-de-santo-domingo/,estancia de santo domingo,415000,USD,,4.5,,,https://www.sovinic.com.ni/propiedades/propiedad-de-lujo-en-estancia-de-santo-domingo/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/Brochure-I-1-525x328.jpg,,,12.0788562,-86.2408032,neighbourhood
32105,santo domingo managua nicaragua,venta-renta-de-casa-de-lujo-en-santo-domingo-managua-nicaragua/,santo domingo managua nicaragua,390000,USD,,3.5,,,https://www.sovinic.com.ni/propiedades/venta-renta-de-casa-de-lujo-en-santo-domingo-managua-nicaragua/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/20190522_114654-525x328.jpg,Managua,Managua,12.1547116,-86.2737250,administrative
31959,km carretera masaya,casa-en-venta-km-13-carretera-masaya-2/,km carretera masaya,100000,USD,,2,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-km-13-carretera-masaya-2/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/Lumii_20221107_110206692-525x328.jpg,Masaya,Masaya,12.0631462,-86.2094892,bus_stop
31951,santo domingo managua,casa-residencia-en-santo-domingo-managua/,santo domingo managua,400000,USD,,3,,,https://www.sovinic.com.ni/propiedades/casa-residencia-en-santo-domingo-managua/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/WhatsApp-Image-2018-08-12-at-3.22.31-PM-525x328.jpeg,Managua,Managua,12.1533856,-86.2586730,car_parts
31907,colonia de mayo,casa-en-venta-colonia-4-de-mayo-2/,colonia de mayo,65000,USD,,3,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-colonia-4-de-mayo-2/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/20171218_101435-525x328.jpg,,,12.1271946,-86.2234804,place_of_worship
